L,P,frag,role,semantic_transfer,transfer_fraction,argmax_is_target,kl_from_base,kl_from_other,p_ansA,p_ansB
15,20,1,source_value,29.617610931396484,0.965736300823548,True,15.260875600828298,4.971472291779236e-06,2.3564855500136457e-07,0.9999819040810859
16,20,1,source_value,29.598613739013672,0.9651168626676377,True,15.241879507201698,5.590578813733761e-06,2.401677299328323e-07,0.9999807443015037
17,20,1,source_value,29.586206436157227,0.9647122998961322,True,15.229472672364118,5.881329781842486e-06,2.4316601134772826e-07,0.9999802718450794
18,20,1,source_value,29.35675621032715,0.9572306561933522,True,15.17015361483928,7.20839843218847e-06,2.58026853291441e-07,0.9999790997164382
19,20,1,source_value,29.124197006225586,0.9496476385754987,True,15.090456522148276,8.18110507281709e-06,2.794325268133736e-07,0.9999777317953698
20,20,1,source_value,25.67701530456543,0.83724598293423,True,13.914362356779701,5.747823737705175e-06,9.058367131880312e-07,0.9999876033231692
21,20,1,source_value,25.53960418701172,0.832765442465732,True,13.86682290609958,7.035477378307992e-06,9.49939896343638e-07,0.9999865927191736
21,50,"
",assistant_prefix,1.933135986328125,0.06303342969659907,False,5.901616157146119e-06,11.992984758246775,0.9999890353049903,6.186868058950226e-06
20,50,"
",assistant_prefix,1.614105224609375,0.052630849002807185,False,5.441041512284362e-06,12.068806291205291,0.9999895086311616,5.7351082969881766e-06
12,26,4,operand,0.7918281555175781,0.02581900328047233,False,4.742393312020536e-07,13.42003471835683,0.9999970048555732,1.4849422453315943e-06
13,26,4,operand,0.5567893981933594,0.01815513530090359,False,3.137990615059267e-07,13.799816246574206,0.9999978195664493,1.0157152699904637e-06
15,26,4,operand,0.5026016235351562,0.01638824393449703,False,4.4245924554387395e-07,13.85400485375312,0.9999980531027909,9.621407999674488e-07
20,26,4,operand,0.4571704864501953,0.014906878730116953,False,3.237860697313292e-07,13.549903245765336,0.9999968805947647,1.304088574980755e-06
9,26,4,operand,0.43041229248046875,0.014034378942038189,False,1.0179284788121162e-07,13.892568806133403,0.9999973158169413,9.257382873768006e-07
21,26,4,operand,0.4134407043457031,0.013480989312390685,False,3.6833730803416127e-07,13.52853951802682,0.9999968543531456,1.332249107920421e-06
16,26,4,operand,0.3901786804199219,0.01272248853433034,False,4.05015691051735e-07,13.966426778244296,0.9999981608497915,8.598328125184914e-07
19,50,"
",assistant_prefix,0.38796424865722656,0.012650282942060082,False,1.8509339574546277e-07,13.968636266461173,0.9999970720097278,8.579299439058651e-07
18,50,"
",assistant_prefix,0.3796367645263672,0.012378750111868914,False,2.44167064075051e-07,13.97696373405688,0.9999970079383248,8.508151564278416e-07
14,26,4,operand,0.3532257080078125,0.011517569374430277,False,3.447328613622051e-07,14.00337907416796,0.9999981625588958,8.286393312229804e-07
