L,P,frag,role,semantic_transfer,kl_from_A,kl_from_B,p_B,p_A,argmax_is_B,mean_cos_finalpos,mean_distimprove_finalpos
3,23,:,content,0.023529052734375,5.221924794689671e-08,14.94529487807228,3.229777869671793e-07,0.9999697214270133,False,0.18559527397155762,0.02132095955312252
7,31, Reply,content,0.023519515991210938,2.994587305811273e-08,14.945305318363586,3.229748382899792e-07,0.999970128456825,False,0.060180407017469406,0.0006957845180295408
8,31, Reply,content,0.023050308227539062,2.391717763857305e-08,14.94577427343186,3.228233559150758e-07,0.999970203975258,False,0.06426405906677246,0.0005426045972853899
11,30,?,question_end,0.022289276123046875,1.2768467781716152e-07,14.946528648928755,3.225773110245744e-07,0.9999687798227195,False,0.23305751383304596,0.034470174461603165
10,31, Reply,content,0.021636962890625,1.0444025578031455e-08,14.947188781188574,3.2236756198676404e-07,0.99997065277017,False,0.10166696459054947,0.0015630503185093403
5,21,.,content,0.019243240356445312,8.9833188004147e-09,14.94958247938904,3.2159685792036726e-07,0.99997075102489,False,0.24851945042610168,0.022128110751509666
13,24, what,content,0.01840972900390625,5.621709619824212e-09,14.950415485972142,3.2132917169991586e-07,0.9999715499626365,False,0.1855512112379074,0.01267168391495943
15,22, Question,content,0.018354415893554688,1.3316626738906805e-08,14.950471743977548,3.2131109639599025e-07,0.9999706098436426,False,0.05972668528556824,2.738647162914276e-05
4,23,:,content,0.018247604370117188,2.914898560634998e-08,14.950575792599873,3.2127658893375677e-07,0.9999700198172929,False,0.18164245784282684,0.017532283440232277
0,22, Question,content,0.018062591552734375,2.3237468016642032e-08,14.950763205150855,3.2121725747604016e-07,0.9999703414931246,False,0.17629817128181458,0.020149728283286095
14,24, what,content,0.017421722412109375,1.776151394265887e-08,14.951403026342689,3.2101192695170307e-07,0.9999717798832358,False,0.20540858805179596,0.012967430986464024
18,29,ax,content,0.017293930053710938,4.960922747712713e-09,14.951531193077527,3.209707868701851e-07,0.9999714065534165,False,0.1498509794473648,0.004015577491372824
6,24, what,content,0.017198562622070312,7.3337642038519855e-09,14.951624653511953,3.2093993622625107e-07,0.9999706527151113,False,0.0949879065155983,0.00438650930300355
6,29,ax,content,0.017032623291015625,9.44523594180519e-09,14.951795448449028,3.208868743734419e-07,0.9999712457016936,False,0.08477798104286194,0.0010537969646975398
12,31, Reply,content,0.016941070556640625,5.339503814502964e-09,14.951884514255932,3.2085735366500886e-07,0.9999707969719609,False,0.1363380253314972,0.002526260679587722
20,35, lowercase,content,0.01659393310546875,1.4587546371214294e-09,14.952231213784273,3.207461440225238e-07,0.9999712728216248,False,0.028856579214334488,0.00017740165640134364
10,22, Question,content,0.016387939453125,2.1224503215266773e-08,14.95243654364342,3.206797295447871e-07,0.9999701826300641,False,0.05035487562417984,0.001106743235141039
0,25, color,relation,0.016307830810546875,1.280962644377388e-08,14.952515907250904,3.2065410394910514e-07,0.9999703778290729,False,-0.06523342430591583,-0.010377170518040657
2,25, color,relation,0.01622772216796875,3.9085619707326156e-08,14.95259579382498,3.2062823287061527e-07,0.9999698010340943,False,0.02329149655997753,-0.0009390581981278956
4,24, what,content,0.01613616943359375,8.117242151261653e-09,14.952688932840799,3.2059914392709504e-07,0.9999706247931945,False,0.11204139143228531,0.0038191741332411766
17,29,ax,content,0.015699386596679688,6.838878515499456e-09,14.953125683720215,3.2045941785223034e-07,0.9999714846321618,False,0.20980167388916016,0.007156129460781813
7,33, exactly,content,0.015565872192382812,1.178160322148599e-09,14.953259418067573,3.2041658958314266e-07,0.9999713436417712,False,0.05539996176958084,0.0008759582415223122
8,24, what,content,0.015386581420898438,2.4580719338510184e-09,14.953437568351571,3.2035903831360325e-07,0.9999710044022018,False,0.11808811873197556,0.004649247042834759
9,37,.,content,0.015247344970703125,2.10170568907731e-08,14.953577459896795,3.2031420161198414e-07,0.9999702734180712,False,0.10151813179254532,0.008401905186474323
18,21,.,content,0.015247344970703125,1.3509231030107044e-07,14.953576868297015,3.2031371426656753e-07,0.9999687520027636,False,0.048662278801202774,0.002179746748879552
6,33, exactly,content,0.01520538330078125,2.7153161902133488e-09,14.95361921462119,3.2030109649904284e-07,0.9999713209144468,False,0.04123465716838837,0.0006858365377411246
23,25, color,relation,0.014940261840820312,5.75498641735689e-10,14.953885841803062,3.2021612841631217e-07,0.9999711315344221,False,0.1271573156118393,0.0005896269576624036
19,21,.,content,0.01490020751953125,1.2455308397409038e-07,14.953924111758473,3.2020257053264563e-07,0.9999688452378651,False,0.04342634975910187,0.002177304122596979
11,31, Reply,content,0.01486968994140625,4.338986270227871e-09,14.953956068598186,3.201934508839969e-07,0.9999708814763384,False,0.11861960589885712,0.0019469320541247725
1,25, color,relation,0.014429092407226562,1.014328361803801e-08,14.954394376534248,3.2005227602835327e-07,0.9999704769133541,False,-0.03254202380776405,-0.0049126329831779
16,22, Question,content,0.014402389526367188,8.071541568773749e-09,14.954423194532621,3.200437847301402e-07,0.9999706484644635,False,0.05856740474700928,0.00020182758453302085
3,35, lowercase,content,0.01434326171875,3.894088426223697e-08,14.954482784949455,3.2002540284491996e-07,0.9999723390418385,False,0.17484252154827118,0.014803800731897354
8,33, exactly,content,0.014295578002929688,9.383537492815286e-10,14.954529586484947,3.2000981558095516e-07,0.9999713152669186,False,0.06556887179613113,0.0011867070570588112
5,42,"
",assistant_prefix,0.0139617919921875,1.0090809275754477e-08,14.954862376748714,3.199027451142157e-07,0.9999704603709122,False,0.2724955677986145,0.09254080057144165
4,22, Question,content,0.013891220092773438,9.40950789162955e-09,14.954934243351515,3.1988021699973607e-07,0.9999706080258098,False,-0.003989315126091242,-0.001248881220817566
8,37,.,content,0.0138397216796875,9.354091268837583e-09,14.954986096664213,3.198637694456569e-07,0.9999706872613013,False,0.10023189336061478,0.006009172182530165
7,37,.,content,0.013814926147460938,1.0275702409000526e-08,14.95501053683198,3.198558138321514e-07,0.9999706106057938,False,0.11252713203430176,0.006218216847628355
9,33, exactly,content,0.013475418090820312,1.3616834544723332e-09,14.955349434744496,3.197474580549933e-07,0.9999712968041617,False,0.05800481140613556,0.0009896444389596581
17,22, Question,content,0.013441085815429688,3.156458597633885e-09,14.955384048855587,3.197363209539081e-07,0.9999707975581612,False,0.08394210785627365,0.0003341980918776244
4,42,"
",assistant_prefix,0.013284683227539062,8.238596757737151e-09,14.95553981502604,3.1968623498560417e-07,0.9999705401548543,False,0.25375860929489136,0.07350549101829529
11,37,.,content,0.01324462890625,1.698006549298807e-09,14.955582069623512,3.1967368261956936e-07,0.9999713290388785,False,0.030715573579072952,0.00016661295376252383
4,33, exactly,content,0.013141632080078125,2.154257009057579e-09,14.95568341714534,3.196407704805441e-07,0.9999713651413399,False,0.12045253068208694,0.005268575623631477
17,37,.,content,0.013088226318359375,1.0200237037672237e-08,14.955735316387514,3.196234255840718e-07,0.9999705057382052,False,0.08448105305433273,0.0039741224609315395
2,24, what,content,0.013082504272460938,6.237654276039152e-09,14.955742937507216,3.1962166354926365e-07,0.9999707149164935,False,0.08547152578830719,0.001572118024341762
5,24, what,content,0.013065338134765625,6.298149057177752e-09,14.955757955681799,3.1961630622083953e-07,0.9999711194335166,False,0.06433597207069397,0.0018127344083040953
15,37,.,content,0.012731552124023438,3.032500392810378e-09,14.956092048020729,3.1950959502078073e-07,0.9999709768723637,False,0.08490966260433197,0.003517255187034607
9,35, lowercase,content,0.012475967407226562,2.0409406182039539e-07,14.95634253050414,3.194284055014903e-07,0.9999724225874668,False,0.17813609540462494,0.023991696536540985
21,41,assistant,chat_template,0.012300491333007812,5.847778517762618e-08,14.956525377211486,3.1937237279220345e-07,0.9999724677238039,False,0.051106568425893784,0.001343392999842763
20,41,assistant,chat_template,0.012159347534179688,8.979272963852571e-10,14.956666040314634,3.1932685912110155e-07,0.9999710916744668,False,-0.001135258818976581,-6.153759022708982e-05
3,24, what,content,0.011995315551757812,1.465802626901434e-09,14.956830154677492,3.192744452346023e-07,0.9999709715164277,False,0.06565302610397339,0.0007619119132868946
10,42,"
",assistant_prefix,0.011606216430664062,2.475531545662813e-08,14.957221984398588,3.191501793429741e-07,0.9999707814821636,False,0.2004029005765915,0.05261640250682831
1,23,:,content,0.011470794677734375,1.0313131058497977e-09,14.957354192439956,3.1910708890980717e-07,0.9999711779434198,False,0.2093997597694397,0.02584797330200672
5,33, exactly,content,0.011240005493164062,2.6616000356394564e-09,14.95758508014666,3.1903352379738653e-07,0.9999714062974353,False,0.03241189569234848,0.000583701184950769
8,22, Question,content,0.011190414428710938,2.3100745939530023e-09,14.957634114084192,3.1901755009902584e-07,0.999970927094446,False,0.041619669646024704,0.0010196325602009892
18,22, Question,content,0.0111541748046875,2.108898382783681e-10,14.95767122738366,3.1900603520802596e-07,0.9999710712116596,False,0.055364105850458145,0.00010243569704471156
21,24, what,content,0.011041641235351562,6.285177794752391e-10,14.957784149436707,3.189701919314708e-07,0.9999712392206056,False,0.007440892979502678,4.109464862267487e-05
20,30,?,question_end,0.01099395751953125,3.570063100587911e-09,14.957831034940943,3.1895502284496713e-07,0.9999713653628737,False,0.10217343270778656,0.0008542566210962832
23,24, what,content,0.01097869873046875,4.710860818782508e-10,14.95784706779528,3.189501035475314e-07,0.9999712008680484,False,0.0408952496945858,0.00010959479550365359
6,31, Reply,content,0.01096343994140625,1.948518842406597e-09,14.957861674784033,3.1894514387725555e-07,0.9999709095566628,False,0.07105554640293121,0.0021260110661387444
19,29,ax,content,0.010915756225585938,9.366373837218695e-09,14.95790952029183,3.1893016822849967e-07,0.9999716384675147,False,0.15135839581489563,0.004122991114854813
26,27, the,content,0.010684967041015625,1.110075367949357e-10,14.958141044810839,3.188564269712949e-07,0.9999711865003633,False,0.07754985988140106,0.00027334518381394446
13,27, the,content,0.0104827880859375,1.9951163269191806e-08,14.958343071896417,3.1879173954574636e-07,0.9999704716888824,False,0.033427584916353226,0.0003536444855853915
10,37,.,content,0.010473251342773438,4.109707735169656e-09,14.95835110275062,3.1878878439419955e-07,0.9999707385314258,False,0.0712035596370697,0.004973360802978277
22,24, what,content,0.010448455810546875,6.65113610787411e-10,14.958377300542612,3.187810454971549e-07,0.9999712578150499,False,-0.029314199462532997,-6.433777343772817e-06
6,42,"
",assistant_prefix,0.009969711303710938,4.968467328377282e-09,14.958854666785912,3.186282786500849e-07,0.9999706656108358,False,0.2434568852186203,0.0694122239947319
7,42,"
",assistant_prefix,0.00991058349609375,9.162168784613318e-09,14.958914530672635,3.1860940233055955e-07,0.9999705492180414,False,0.2410871982574463,0.07696035504341125
3,33, exactly,content,0.009878158569335938,1.8166262050104823e-10,14.958946938533277,3.1859927911111874e-07,0.9999712004864052,False,0.1286258101463318,0.005440855398774147
15,29,ax,content,0.009700775146484375,5.717450726415598e-09,14.959125430727658,3.185428962385461e-07,0.9999715971125407,False,0.18631672859191895,0.009130192920565605
5,29,ax,content,0.00963592529296875,9.10601968925624e-09,14.959192046415417,3.1852220567311016e-07,0.9999714910787535,False,0.05452147126197815,0.00020277909061405808
3,22, Question,content,0.00948333740234375,1.5153446590849963e-08,14.959341995024348,3.184732869013258e-07,0.9999704867911892,False,0.022397298365831375,-0.0007013465510681272
6,22, Question,content,0.009340286254882812,1.5132803792733421e-09,14.959485168889357,3.1842787122052194e-07,0.9999709233920289,False,0.03133345767855644,0.003973307088017464
16,37,.,content,0.009164810180664062,2.3518283672766937e-08,14.95965862344739,3.1837175991593133e-07,0.9999701704141869,False,0.04218175262212753,0.0021734233014285564
16,29,ax,content,0.009016036987304688,2.0590683969779584e-09,14.959809251659314,3.1832476208697337e-07,0.9999713133376598,False,0.2486821413040161,0.012556301429867744
5,22, Question,content,0.00894927978515625,3.5708618412653594e-09,14.959876036745943,3.183033490923567e-07,0.999970800529189,False,0.012914566323161125,0.0018352161860093474
5,31, Reply,content,0.008920669555664062,1.353153090926905e-09,14.95990481773774,3.182943071290975e-07,0.9999710036005579,False,0.05715462565422058,0.0014703612541779876
26,26, is,content,0.008892059326171875,1.29225997925231e-10,14.959933687860076,3.182852571601723e-07,0.999971180713238,False,0.08727231621742249,0.0003636781475506723
10,24, what,content,0.008838653564453125,6.717437320768171e-09,14.959986291710683,3.1826839366234763e-07,0.9999716027189152,False,0.13504770398139954,0.009101894684135914
24,24, what,content,0.008617401123046875,4.704960511366495e-10,14.960208273662552,3.181978677493048e-07,0.9999712380400106,False,-0.005171219352632761,-2.233074337709695e-05
12,37,.,content,0.008533477783203125,2.8381077417407885e-09,14.960293043149392,3.18171243959508e-07,0.9999714873246753,False,0.01920957677066326,0.0001909142010845244
20,29,ax,content,0.008462905883789062,5.720771119222783e-09,14.960362996550412,3.1814882746319764e-07,0.9999716025518269,False,0.19862721860408783,0.005256480537354946
13,37,.,content,0.008388519287109375,8.036716136662099e-09,14.96043779682634,3.1812519865897004e-07,0.9999717167303416,False,0.01965533196926117,0.0005086804158054292
14,36, word,content,0.008333206176757812,1.3235951080433677e-08,14.960491774755631,3.1810722486302876e-07,0.9999705291520397,False,0.05903240665793419,0.005185170564800501
9,22, Question,content,0.008157730102539062,4.051577354683201e-10,14.960667859926753,3.180516163122546e-07,0.9999711792131846,False,0.046725980937480927,0.0036036940291523933
26,24, what,content,0.008098602294921875,5.745827414283071e-10,14.96072710938069,3.1803281342537543e-07,0.9999711862938337,False,0.01863386109471321,7.500861829612404e-05
17,21,.,content,0.00806427001953125,1.9946594473288682e-07,14.960759103208767,3.180209360405071e-07,0.9999681715500195,False,0.040435440838336945,0.0023389384150505066
7,24, what,content,0.008037567138671875,2.0824201042216167e-09,14.960786482532548,3.18013331870209e-07,0.9999709631490495,False,0.10278405994176865,0.004571156110614538
2,26, is,content,0.007953643798828125,7.884028670482888e-09,14.960872166583611,3.179865799786167e-07,0.9999707610378143,False,0.05929267778992653,0.0009385649464093149
10,27, the,content,0.007900238037109375,1.2218860140267922e-08,14.960925273189606,3.179695493616903e-07,0.9999706077104222,False,0.030062826350331306,-0.0007320690783672035
10,39,"
",content,0.0078067779541015625,1.1022436478599566e-09,14.961018358460079,3.179399419146616e-07,0.9999709493524225,False,0.08178097754716873,0.0016826123464852571
7,26, is,content,0.007747650146484375,1.695753731388602e-08,14.961078946051535,3.179210598089851e-07,0.999970686497011,False,0.08476722240447998,0.004433689173310995
3,42,"
",assistant_prefix,0.0077266693115234375,4.169565138910694e-09,14.961097547343291,3.1791439890241353e-07,0.9999707156635732,False,0.27521654963493347,0.08906719088554382
4,31, Reply,content,0.0075969696044921875,1.1581315248164942e-09,14.961228982189482,3.1787328413310014e-07,0.9999710804563161,False,0.01113065704703331,-5.112191502121277e-05
4,29,ax,content,0.007572174072265625,4.107732092137621e-09,14.961254746865604,3.178654962162118e-07,0.9999713756125108,False,0.09949331730604172,0.0023454201873391867
9,23,:,content,0.007564544677734375,1.076544858612349e-08,14.961262051237238,3.1786288771528667e-07,0.9999707986859512,False,0.04748164489865303,0.0033595163840800524
25,27, the,content,0.007564544677734375,4.5754594172107484e-10,14.961261450681347,3.178630420001352e-07,0.9999712840535382,False,0.09546642750501633,0.0003589100670069456
4,35, lowercase,content,0.007465362548828125,2.7467995080966966e-08,14.961359964796976,3.178317783130177e-07,0.9999721054800016,False,0.19936715066432953,0.02553258277475834
2,42,"
",assistant_prefix,0.0074405670166015625,4.438740637304624e-09,14.961384105227184,3.178234541556109e-07,0.9999707102588041,False,0.2296943962574005,0.05049648508429527
10,33, exactly,content,0.0073337554931640625,1.1936437223022091e-10,14.961491342683752,3.177896334242065e-07,0.9999711025290057,False,0.03788268566131592,0.0006608713301829994
1,22, Question,content,0.0072002410888671875,9.02787559562373e-09,14.961625078509375,3.177470627662302e-07,0.9999706493619543,False,0.08561719954013824,0.012049559503793716
11,27, the,content,0.0071048736572265625,1.993600521121465e-08,14.961720881910832,3.1771670924393743e-07,0.9999704849250131,False,0.0024172263219952583,-0.0005587647319771349
